1,文２その男、身を《えう》なきものに思ひなして,よう,
2,文３《東》の方に住むべき国求めに。,あずま,
3,文５《惑》ひ行きけり。,まど,
4,文６《三河》の国,みかわ,
5,文６《八橋》といふ所にいたりぬ。,やつはし,
6,文７水行く川の《蜘蛛手》なれば、,くもで,
7,文７橋を《八》つ渡せるによりて,や,
8,文８木のかげに《下》りゐて,お,
9,文８《乾飯》食ひけり。,かれいい,
10,文１０かきつばたといふ《五》文字を,いつ,
11,文１０句の《上》に,かみ,
12,文１０《据》ゑて,す,
13,文１１《唐衣》,からころも,
14,文１２《乾飯》の上に涙落として,かれいい,
15,文１３《駿河》の国,するが,
16,文１４《宇津》の山にいたりて,うつ,
17,文１４わが《入》らむとする道,い,
18,文１４いと《暗う》細きに、,くろう,
19,文１４《蔦》・楓は茂り,つた,
20,文１４蔦・《楓》は茂り,かえで,
21,文１４蔦・楓は《茂》り,しげ,
22,文１４《修行者》会ひたり。,すぎょうざ,
23,文１６京に、その人の《御》もとにとて、,おおん,
24,文１６《文》書きてつく。,ふみ,
25,文１８《五月》のつごもり,さつき,
26,文１９時知らぬ山は富士の《嶺》,ね,
27,文１９《鹿の子》まだらに,かのこ,
28,文２０《比叡》の山,ひえ,
29,文２０《二十》ばかり重ね上げたらむほどして,はたち,
30,文２０二十ばかり《重》ね上げたらむほどして,かさ,
31,文２０なりは《塩尻》のやうになむありける。,しおじり,
