1,文１昔、男あり《けり》。問：《　》の助動詞の意味は？,過去,
2,文２その男、身を《えうなき》ものに思ひなして、問：《　》の品詞は？,形容詞, 終止形にすると「えうなし」になる。
3,文２その男、身を《えうなき》ものに思ひなして、問：《　》の訳は？,必要がない,「えう」は「よう」と読み、漢字で書くと必要の要になる。
4,文２その男、身をえうなきものに《思ひなし》て、問：《　》の訳は？,思い込んで,
5,文２その男、身をえうなきものに《思ひなし》て、問：《　》の主語は？,男,
6,文２その男、《身》をえうなきものに思ひなして、問：《　》の訳は？,自分自身,
7,文３「京にはあら《じ》。東の方に住むべき国求めに。」とて行きけり。問：《　》の意味は？,打消意志,「じ」は「む」（推量・意志など）の打消版。自分の未来なら、打消意志（ないつもりだ。ないでおこう。）。自分以外の未来なら、打消推量（ないだろう。）。
8,文３「京にはあらじ。《東》の方に住むべき国求めに。」とて行きけり。問：《　》の訳は？,東国の方,東国は「とうごく」と読む。
9,文３「京にはあらじ。東の方に住む《べき》国求めに。」とて行きけり。問：《　》の意味は？,適当,◎今の「べき」と同じ感じで、「ほどほど」の主張なら「適当」（のにふさわしい）、「やや強め」の主張なら「当然」（ねばならない）。「かなり強め」の主張なら命令（せよ）。　◎今の「べき」とは違う感じで、自分の未来を述べているなら、「意志」（しよう）。《この意志は「む」より強め》。例：我、進むべし。自分以外の未来を述べていれば「推量」（だろう）。《この推量は「む」より強め》。例：雨、降るべし。自分以外の未来について強い感じ述べていたら「当然」（はずだ）。自分以外の未来を述べていて、推量・当然ではなさそうなら、「可能」（できる）。◎注意：２つの当然がある。《べき》の「当然」＝ねばならない。《自分以外の未来》の「当然」＝はずだ。
10,文４《もとより》友とする人一人二人して行きけり。問：《　》の訳は？,古くから,
11,文４もとより友とする人《一人二人して》行きけり。問：一・二人とは男を含んでいるか？,含んでいない,
12,文５道知れ《る》人もなくて、惑ひ行きけり。問：《　》の意味は？,存続,終止形は「り」。●完了（～てしま[う・った]・た）←～の瞬間に注目。●存続（～ている・てある）←～の後の状態に注目
13,文５道知れる人もなくて、《惑ひ》行きけり。問：《　》の訳は？,道に迷いながら,
